,post_caption
27492,"Day 9. Plastic free July. Before plastics were an everyday thing, food was stored in ceramic containers. 
After diving into Mums cupboards and finding a few, then visiting the op shop/charity store we have a enough reusable containers to store left over food and perfect to bake the occasional winter sweet treat. 
#rethink #preloved #ceramics #foodwaste #plasticfreejuly #kitchen #ecoorganise #reduce #reuse 
@anonymised_user @anonymised_user @anonymised_user @anonymised_user"
27497,"Day 4. #plasticfreejuly Reusing  and refilling jar glass is another way to reduce plastics in our lives. 
Once these recycled jars are refilled with spices they are stored upside down in my old cake tin. No need to label with a plastic coated labels or use a marking pen which contains chemicals. 
I can see what I have and how much. With a quick glance my shopping list is sorted, reducing over purchasing and food waste. 
#climateaction #plasticfree #foodwaste #reducereuserecycle #waronplastic #waronwasteau #ecoorganise #glassjars #storageideas #zerowasteliving #spices #publicspeaker 
@anonymised_user @anonymised_user @anonymised_user @anonymised_user @anonymised_user @anonymised_user"
28347,"* Let's talk about single use plastic *

 As part of my internship wirh @anonymised_user I did a virtual placement with @anonymised_user 

 I was introduced to this amazing new type of plastic that is completely natural and can dissolve in the hot water.

 I asked if it would affect the taste, and so I ran an experiment with coffee experts who can feel different notes and flavours in the coffee.

 Check the video to find out if they managed to find the cup with the bioplastic.

 Do you think this could be one of the solutions to avoid single use plastic?

 It is made of seaweed 
 It feels like plastic but it is 100% natural
 It is vegan and 100% cruelty-free
 It doesn't contain any synthetic or other harmful chemicals
 It is biodegradable and disappears in the soil within a week
It dissolves in the hot water within 30 seconds
AND it doesn't affect the taste!
.
.
#scientistsagainstplastic #biopolymers #bioplastic #plasticfree #saynotoplastic #ecofriendly #biodegradable #natural #cruetlyfree #innovation #goinzerowaste #zerowastehome #zerowaste #zerowasteliving #sustainability #foodwaste #vegan #cupping #specialtycoffee #cleanoceans #seaweed #singleuseplastic #zerowastejourney #zerodechets #compostable"
31848,"what's your #currentread  

a bowl of strawberries  in @anonymised_user makes everything sweeter 

#strawberryday #krinklewraps #krinklewrapsmy #beeswaxwrap #beeswaxwraps #beeswaxwrapsmy #zerowaste #zerowastemy #ecofriendly #lesswaste #reusable #eco #noplastic #plasticfree #zerowastehome #zerowastekitchen #zerowastelife #zerowasteliving #zerowastelifestyle #cleanliving #earthfriendlyproducts #penangsters #penangfoodie"
32335,"Go eco on your festive decorations with this great idea! 

Reposted from @anonymised_user (@anonymised_user

Be a part of the change. 

#zerowaste #zerowastetips #zerowastehome #zerowastelife #zerowasteliving  #zerowastefood #zerowastevegan #veganfood #ecofriendlyproducts #homemade #homedecor #homemade #recycled #recycling #cleanculture #cleanenvironment #environmentalist #environment #earthdayeveryday #veganheaven  #waste #pollution #nature #trulyecofriendly #ecoconscious #vegan
. - #regrann"
32355,"Don't want to be caught in that situation? Remember to bring your reusable produce bags when you head out! 

Reposted from @anonymised_user -  Those feels when...  #repost  @anonymised_user
.
""True @anonymised_user .
.
.
#zerowaste #zerowasteliving #plasticfree #zerowastehome #zerowastelifestyle #ecofriendly #zerowastelife #sustainable #sustainability #sustainableliving  #goingzerowaste #lesswaste #zerowastejourney #noplastic #zerowastekitchen #zerowastetips #zerowastefood #saynotoplastic #nowaste #gogreen #minimalism #zerowastemovement #wastefree"
32358,"Although this seems so obvious, it still helps to keep it in mind always.

Reposted from @anonymised_user
credit @anonymised_user @anonymised_user  #VIVIBLU
#Ecofriendly #ZeroWaste #SustainableLiving #Plasticfree #SustainableStyle #ZerowasteLiving #EcofriendlyProducts #ZerowasteHome #SustainableLifestyle #ZerowasteLifestyle #ZerowasteLife #SustainableFood #PlasticfreeLiving #SustainableDevelopment #SavetheOceans #EcofriendlyLiving #SustainableLife #PlasticfreeOceans #SustainableBrand #reusable #ZerowasteJourney #SustainableProducts #SustainableHome #compostable #zerowastecollective #reusable#zerowastevegan #plasticfreelife #zerowastetips"
32360,"Reposted from @anonymised_user -  Simple, chic and easy way to reduce the use of single use plastic! Perfect for packing food on the go. Also doubles as a mat! Let's be kind to our planet. Available in several beautiful prints @ neishaus.com.sg

#keepleaf #reusablesnackbags #plasticfreeliving #nosingleuse #saynotoplastics #reusable #reusablefoodwrap #alternativestoplastics #zerowaste #environmentalfriendly #gogreen #noplanetb 
#earthday"
33437,"This 100% organic and vegan Thai coconut water straight from the coco itself are incredible.
Have you allready tried? Tag some friends you know love coconuts.
 @anonymised_user .
.
.
#genuinecoconut #coconut #healthyfood #yummy #glutenfree #foodie #coconutoil #delicious #coconutwater #healthyrecipes #healthyeating #reuse #diy #zerowaste #sustentableco"
34630," Did you know?  Fruits and vegetables have the highest waste rates of any food.

According to the United Nations Environment Program, per capita waste is between 95-115 kg in Europe and North America, and only 6-11kg a year in sub-Saharan Africa, South and Southeastern Asia.

To minimize food waste, plan ahead so that you don't over-buy and check the use-by dates of fresh food before purchasing. Preserve when possible, eat the leftovers or compost! 

You can follow these simple tips to extend the life of your fresh produce: 

1. If you're able to, buy from a specialty grocery or farmers market - you can be more certain of buying produce that was picked in its prime and delivered to the market directly. 

2. Remove vegetable tops - beets, carrots, radishes and turnips may have leafy, green tops attached that should be removed and stored separately as they pull moisture from the roots and cause the vegetable to become dry and shriveled.

3. Remove excess moisture - make sure to pat produce dry before storing. You can also wrap it in a lint-free kitchen towel or line the storage bag with a paper towel to absorb any remaining moisture.

4. Think about the placement in the fridge - placing fresh produce at the back where it is too cold and sometimes icy may cause it to deteriorate more quickly. 

5. Store items that you will leave out of the refrigerator, like tomatoes, potatoes, onions, garlic and fruits in a cool, dry place. PRO TIP: Don't keep potatoes and onions next to each other!

6. Roots, greens, lettuces and herbs can be revived by placing it in iced water. 

7. Check your produce during storage - change the bag or towel if too much moisture has accumulated. Remove any wilted parts or moldy spots and refrigerate again. 

Have any other tips / tricks to keep your produce fresh? Comment below!

Source: https://www.unenvironment.org/thinkeatsave/get-informed/worldwide-food-waste
https://www.thekitchn.com/10-tips-to-give-your-vegetables-a-long-and-happy-shelf-life-the-vegetable-butcher-220609

#easyecotips #greentips #ecofriendly #zerowasteliving #zerowastelifestyle #sustainableliving #reducereuserecycle #foodwast
.
.
.
#Repost @anonymised_user @anonymised_user"
34812,"Who else likes to cure Monday blues with chocolate? 
.
I was jonesing for some and came across this certified organic, plant-based double chocolate cookies from @anonymised_user at an Esso petrol station.

Made in New Zealand, with gluten-free flour, 57% Belgian coca solids (I love dark chocolate), organic quinoa and coconut oil, it's actually pretty good for $6.50 (about the same price as my usual choice of @anonymised_user cookies)! Swipe left to see the full list of ingredients.

The cookies are a little harder than the average cookie (I guess because there's no butter or eggs), but makes it perfect for dipping it in milk  The bag is resealable and also recyclable in store, but since I'm eating it in Singapore, please note this is a [?] grade 7 plastic, so put it in the trash or upcycle it, so it doesn't contaminate other recyclable grades.

Happy Monday! [?]
.
.
.
#notsponsored #sustainablefood #organicfood #plantbased #glutenfree #vegan #chocolate #cookies #greenliving #monday #plasticwaste"
34814,"Tried the @anonymised_user handmade soy granola bar in blueberry pistachio flavour from my @anonymised_user goodie bag for breakfast today 
.
The sweet morning treat is packed with the following notable ingredients:
 whole grain oats
 soy pulp (maybe left over from making their tasty soy milk?)
 dried blueberries
 pistachio nuts
 almond slices

An 8-pack is $17.60 and available online and in stores. If you're looking for a light, diary-free snack, check them out!
.
.
.
#diaryfree #plantbased #zerowaste #supportlocal #granola #eatgreen #foodreview #snack #sustainableproducts"
34983,"Food waste reduction tips presented by our Rotterdam partners @anonymised_user
.
.
.
#CASTrips #CASatHome #FoodWaste #WasteReductionChallenge #creativity #activity #service #ecolife #COVID19 #flattenthecurve #socialdistancing #stayhome #ecofriendly #IB #UNSDGs #IBlife #sustainableliving  #sustainablelifestyle #Changemaker #Sustainability"
34984,"Join @anonymised_user sustainability consultant, Francesca, on this weeks' Zoom live session - Wednesday at 16:00 CET - link in bio.
.
. .
.
#CASTrips #CASatHome #WasteReductionChallenge #FoodWaste #creativity #activity #service #ecolife #COVID19 #flattenthecurve #socialdistancing #stayhome #ecofriendly #IB #UNSDGs #IBlife #sustainableliving  #sustainablelifestyle #Changemaker #Sustainability"
35335,"[?]It's Earth Week!! Perfect time for a local eco-business shout-out, inspired by @anonymised_user .  
 
Did you know that organic material doesn't break down well in a landfill?  
An estimated 1/3 of the world's food  produced for consumption never reaches the consumer's table. And in the US, a lot of that food waste happens at the levels of distribution and individual consumption. And all that wasted food cause lots more harm while sitting in a dump.  
We need to be changing the processes of global food production that lead to so much waste. But right now in quarantine, you can start composting to cut down on your personal waste AND keep food waste out of landfills.  
 
Shout out to @anonymised_user who helps us compost when we don't have a backyard.  
 
Check out @anonymised_user and @anonymised_user for more info on food waste, and @anonymised_user for tips if you wanna go the DIY compost route.

#foodwaste #compost #earthweek #smallbusiness #earthday"
35471,"Reposted from @anonymised_user Seperti yang kita ketahui, pohon memiliki banyak manfaat bagi kehidupan dan lingkungan seperti:
1. membersihkan udara
2. menyediakan air bersih
3. mengendalikan suhu dan kelembaban
4. pengendalian banjir dan bencana alam
5. menurunkan pencemaran udara
6. tempat tinggal satwa liar

Dengan mengikuti 7 Days Vegan Zero Waste Plate Challenge anda dapat menyumbangkan satu pohon untuk bumi kita.
Anda cukup post makanan sebelum dan sesudah di Instastory kalian dan tag @anonymised_user 

Untuk 200 Challengers pertama yang berhasil, Earth Festival akan mendonasikan 50.000/orang untuk penanaman pohon di Pusat Budaya Alam Nusantara (PUSBATARA)

Periode Challenge:
1 Desember-31 Desember 2020.

Yuk, tunggu apalagi? Segera daftar di:
http://bit.ly/3jETviY (Link on bio)

More info:
Debby 081649039228

#7daysveganZWPC #7daysvegan #7dayzerowasteplate #EarthFestival2020 #EarthFestivalIndonesia #Vegan #veganchallange #instagramchallange #veganjakarta #veganguide #veganfood #veganbali"
37847,"Thank you Cold Storage Supermarkets and Jason's Marketplace Singapore for making Confetti - Snack of the Month! 

Grateful for acknowledging our efforts as an impact driven snack company to upcycle food surplus and craft imperfect produce to award-winning gourmet snacks in our fight to support global hunger relief efforts.

 Facts about food waste remain shocking - 

1) Over 1/3 of all food produced globally goes to waste.

2) Annual value of food wasted globally is $1 trillion, and weighs 1.3 billion tonnes.

3) All the world's nearly one billion hungry people could be fed on less than 1/4 of food that is wasted in the US, UK and Europe.

4) An area larger than China is used to grow food that is never eaten.

5) If food waste were a country it would be the 3rd largest emitter of greenhouse gases.

6) Reducing food waste is the #1 solution to the climate crisis, according to Project DrawDown - Above electric cars, solar power and plant-based diets.

Thank you to our partners like Upcycled Food Association in our fight against food loss and repurposing rescued veggies and fruit into tasty and nutrient dense CPG snacks to delight global consumers. [?]

@anonymised_user @anonymised_user

#circulareconomy #zerowaste #ColorForHunger #sustainability #foodwaste #zerohungerzerowaste"
39448,"Pretty Ugly Lunch at the recent GUI Farmers' Market. What a wonderful concept of ""waste"" to table, with perfectly fine vegetables rescued from pasir panjang market and other contributions, transformed into gorgeous and tasty dishes. Haven't been fan of fine dining but this lunch is just so accessible yet exquisite.
Amazed by how the chefs adapted the menu the day before. Because ya nv know what ya gonna get from a food rescue. (Maybe omakase concept shld be more commonplace to allow eateries to #reducefoodwaste) 
Chef shared that a full veg course can also be very satisfying. However, I'm still thinking doesn't it mean it may need to be this level of cooking to be so? (see regular veg stalls). A simple meat dish could easily satiate already. A separate topic on values vs desire. 
#guifm2019 #keepkampungalive #groundupinitiative @anonymised_user #foodwaste #uglyfood 
Thank you @anonymised_user and @anonymised_user 
Menu:
Drinks: Lemongrass and pandas tea 
Pre-Appetizers: Sourdough & Foccacia with curry leaf butter
Appetizers: Veggie patty with basil vinaigrette, sauces of tomato chutney and soy aioli
Main dish: Nasi Ulam kamameshi with rebdang oyster mushroom, potato & capsicum. Sides are tempura of corn, maitake and eggplant and pickled cucumber & radish 
Dessert: a sweet savory mix of salted coconut agar topped, carrot halwa, orange reduction and walnut crumble. Bonus serve of fuzzy melons with two weeks brewed enzyme sauce for gut health"
39635,"Gluten Free Nuts Free Vegan Bread   @ #zerowastevegancafesg @anonymised_user 

for people who need LOWFODMAP Diet #lowfodmap #lowfodmapvegan ..... chia seed, quinoa, lentil, banana, dal and that's it !! 

check us out --> back2basicliving.com
FB : back2basic 

#glutenfreebread 
#glutenfreeveganbread 
#veganbread 
#nutsfreebread 
#housemadebread 
#freshlybaked 
#homemadebread 
#healthylifestyle 
#healthydiet 
#veganlifestyle 
#sustainablelifestyle 
#veganliving 
#glutenfreeveganliving 
#glutenfreeveganlifestyle 
#enjoylifelovelife 
#jcchenghandcraft 
#jcchenghandcraftfood 
#vegancafesg 
#zerowastevegancafe 
#lowfodmapdiet"
39639,"Sustainable Awareness & Kombucha Workshop and Fund Raising for Kampung Senang. 

https://greenandhealthyfestival.myshopify.com/products/kumbucha

#kombuchalover 
#kombuchalove 
#kombuchaworkshopsg 
#kombuchaworkshop 
#kombuchasharing 
#reduceglasswaste 
#reuseglassjars 
#repurposeglassbottle 
#sustainablelifestyle 
#sustainablelivingsg 
#sustainablefoodsg 
#ecofriendlylivingsg 
#animalcrueltyfree 
#fermentedfood 
#cultureddrinks 
#fermentation 
#fermentationlover
#kampungsenang 
#fundraising 

@anonymised_user"
39640,"Sustainable Awareness, Upcycling and Fund Raising for Kampung Senang [?][?][?]

How to reduce repurpose plastic and food waste ?
Can we go for more homemade and keep reusing our glass jar at home [?][?]

https://greenandhealthyfestival.myshopify.com/products/kumbucha

https://greenandhealthyfestival.myshopify.com/products/recycling-upcycling

#kampungsenang 
#greenandhealthyfestival 
#sustainablelifestyle 
#ecofriendlyliving 
#sustainableliving 
#upcycling 
#recycling 
#upcyclingsg 
#zerowastesg 
#recyclingsg 
#repurpose 
#reduceplastic 
#reducereuserecycle 
#reusefoodwaste 
#reuserevolution 
#impactseeker 
#gamechangers 
#gamechanger 
#socialimpact 
#climatechangeisreal 
#saveournextgeneration 
#fundraising 

IG : @anonymised_user
FB Page : Simple & Natural Homemade
FB Page : Back2Basic"
39641,"Rescuing plastic container (reuse), Repurpose some Fruits n Veggies Waste alone to making more Eco Enzyme or compost @ pasir panjang wholesale market. 

Shop owner are very friendly to give away for me to repurpose them. 

Mission Target: 
1. 2nd Life to Plastic Waste & Food Waste
2. Repurpose n upcycling them into Useful item. 
3. Save our Next Gen.

Been doing these since 2015  Never felt lonely becuz I know what I m doin [?][?][?][?]

Sustainable Educational, Eco Enzyme & Compost Learning Journey.......Pls Ask @anonymised_user or visit back2basicliving.com to book a session to learn more. 

IG : @anonymised_user 
Page : Back2Basic / Simple & Natural Homemade
Booking Learning Session : back2basicliving.com

#sustainableeducator 
#ecoenzymemaking 
#ecoenzymesg 
#garbageenzyme 
#garbageenzymesg 
#garbageenzymesyndrome 
#ecoenzymesyndrome 
#ecoenzymeworkshop 
#reducefoodwaste 
#give2ndlife 
#repurposefoodwaste 
#reducefruitwaste 
#upcycling 
#upcyclingfoodwaste 
#upcyclingfoodwastesg 
#savenextgeneration 
#climatechangesg 
#impactseeker 
#changemaker 
#climatechange 
#thereisnoplanetb 
#reduceplasticwaste 
#reusefoodwaste 
#repurposeplasticwaste 
#rescueplastic 
#rescuefoodwaste"
39642,"Delivery Paper Bag v.s. Zero Waste Vegan Cafe 
@anonymised_user 

Always happy to UPCYCLING delivery paper bag to feed our Vegan Cafe compost bin [?][?][?][?]

These paper bag r good becuz no plastic and not too much colour printing [?]

Have you start your Eco Friendly Journey ?

More Knowledges about making Eco Enzyme / Composting pls CHECK US --> back2basicliving.com

#composting 
#ecoenzyme 
#garbageenzyme 
#compostbin 
#reducefoodwaste 
#repurpose 
#upcyclingpaperwaste 
#repurposewastesg 
#zerowastesg 
#zerowastecafe 
#zerowastevegancafesg 
#zerowasterawvegancafesg 
#upcyclingsg 
#repurposeplasticbottles 
#repurposeplasticcontainers 
#reuseglassjars 
#sustainablelifestyle 
#ecofriendlycafe 
#compostablepackaging 
#compostingisfun 
#ecoenzymesg 
#garbageenzymesg"
39643,"Raw Vegan Fermented Cheese Platter  
by JC Cheng

Handcrafting Future Food by @anonymised_user 
with Raw Vegan Cracker and Raw Vegan Kailan Chips

Who Said RAW Vegan chips must be Kale ?? I keep using different Vegetables and found Kailan is also very very nice result from #excaliburdehydrator 

#rawvegancheese 
#veganfermentedcheese 
#veganculturedcheese 
#rawveganfood 
#veganfooddeliverysg 
#jcchengvegankitchen
#sgveganfooddelivery
#veganfoodsg 
#vegetarianfoodsg
#veganism 
#jcchenghandcraftfood 
#vegancommunity 
#vegetariansg 
#Xin Jia Po Su Shi  
#glutenfreeveganfoodsg 
#glutenfreevegansg
#vegancafesg 
#rawvegancafesg 
#plantbasedcafesg
#plantbasedfoodsg 
#zerowastevegancafesg
#wholefoodsg 
#realfoodsg 
#lowfodmapdiet 
#lowfodmapvegan
#sustainablefood 
#fermentedveganfood 
#sustainablefoodsg 
#animalcrueltyfreefood 

Check US --> back2basicliving.com

Telegram :-
https://t.me/back2basicVeganSG

Food Panda :-
https://foodpanda.page.link/uW2kQzjLBMTmBGzF7 

Grab Food :- 
https://bit.ly/2Qy42Ug"
39644,"Raw & Vegan Rice Paper Roll 
@anonymised_user 

Rainbow  Rice Paper Roll with lots of Fruits and Veggies goes with our Special Kombucha Jam and Kefir Mango Salsa [?][?] Mixing of Raw and Non-Raw@anonymised_user Food[?][?]

Try if u dare JUST nothing special 

Check US --> back2basicliving.com

#kefirlover 
#kombuchalover 
#naturalprobiotics 
#fermentedfood 
#cultureddrinks 
#veganism 
#veganfoodsg 
#rawveganfoodsg 
#rawveganism 
#veganfood 
#plantbaseddiet 
#glutenfreeveganfood 
#sustainablefood 
#animalcrueltyfreefood 
#zerowastevegancafe 
#zerowastevegancafesg 
#rawvegancafesg 
#rawvegancafe 
#veganfooddelivery 
#veganfooddeliverysg 
#singaporeveganfooddelivery 
#vegantakeaway 
#vegansg 

@anonymised_user 
FB : Back2basic

Telegram : 
https://t.me/back2basicVeganSG

Food Panda : 
https://foodpanda.page.link/uW2kQzjLBMTmBGzF7 

Grab Food :- https://bit.ly/2Qy42Ug"
39648,"Urgent [?][?] We are still Looking for Plastic Artist to help out our Upcycling Area #01-32 [?][?] 

We keep receiving many plastic bottle and container and if nobody collect them , our limited space for upcycling may need to throw them all away [?] 

Calling for Plaatic Artist !!
We are reaching out to Plastic Artist  to help reduce plastic waste here at Back2basic Viva Vista#01-32 S118136

URGENT !! [?][?]
Need More Friends to Collect and Repurpose [?][?]

Repurpose Item : 5L plastic container , Glass Bottle and Jar, 2L Meiji Bottle  2L Glass Jar & 750ml glass wine bottle !! 

Purpose : Planting, Seeding, Eco Enzyme, Fermentation / Condiment holder & art craft, plastic ART [?][?]

COFFEE [?][?] ON THE HOUSE 
For those who come down to UPCYCLING 
 & REPURPOSE plastic, Paper or Glass Waste [?][?][?][?] will entitle for a cup of free Coffee we handbrew 

#repurpose 
#repurposewaste 
#upcyclingplasticwaste 
#zerowastesg 
#zerowasteliving 
#zerowastejourney 
#upcycling 
#upcyclingplastic 
#reusereducerecycle 
#reduceplasticwaste 
#jcchenghandcraftfood 
#jcchenghandmadefood 
#jcrawvegancafesg 
#jcrawvegancafe 
#zerowastevegancafesg 
#plasticartist 
#wasteartist 

@anonymised_user 
@anonymised_user 
@anonymised_user 
@anonymised_user"
39649,"Upcycling Area #01-32 
@anonymised_user 

Hi Friends PLS come down and repurpose these 5L and 2L plastic container for making more Eco Enzyme or planting purposes [?][?]

Thanks to a neighbor Cat Grooming shop they upcycling lots of 5L container !! 

Enjoy a free cup of Coffee and collect them for repurposing [?][?][?][?]

#repurpose 
#repurposewaste 
#upcyclingplasticwaste 
#zerowastesg 
#zerowasteliving 
#zerowastejourney 
#upcycling 
#upcyclingplastic 
#reusereducerecycle 
#reduceplasticwaste 
#jcchenghandcraftfood 
#jcchenghandmadefood 
#jcrawvegancafesg 
#jcrawvegancafe 
#zerowastevegancafe 
#zerowastevegancafesg 

@anonymised_user 
@anonymised_user 
@anonymised_user 
@anonymised_user"
39659,"SAY NO to Plastic 
Back2Basic Living 

Compostable Vegan Food Catering and Food Delivery , We keep sharing about Eco Friendly and sustainable [?][?] We do not just talk and share WE REALLY do it as Example [?][?] Hoping to inspire more others to do it together  

Using compostable Hemp / Cotton String Tie instead of Plastic Bag or Paper Bag [?][?] Using compostable Hemp / Cotton String Tie instead of Plastic Bag or Paper Bag [?][?] Back 2 Basic Raw Vegan & Vegan Food Delivery and catering - NO PLASTIC  Back 2 old time method and is compostable , if I can use puccinia cyperi-tegetiformis Xian Shui Cao  I prefer like the old days using those string to tie everything 

Although paper is more eco friendly however we do not want more tree to cutting down therefore we hope more friends and customers can BYO container for us to keep delivery food to you all  

""There is no Planet B !!""

Welcome anyone BYO Container will have S$2 off at our Raw Vegan Cafe [?][?][?]

No Plastic Packaging 
Compostable Packaging
Sustainable Vegan Food and Packaging 
Eco Friendly Vegan Packaging 

#byocontainer 
#byofoodtakeaway
#byocup 
#byofooddelivery
#compostablepackaging 
#compostablefoodpackaging 
#stringtie 
#stringtiefoodpackaging
#back2basicliving 
#back2basics 
#back2basic 
#jcchenghandcraftfood 
#jcchenghandmadefood 
#zerowasterawvegancafesg 
#zerowasterawvegancafe 
#zerowastevegancafesg 

@anonymised_user 
@anonymised_user"
39662,"BYO Container v.s. Vegan Food Delivery 

Thanks for bro and sis who keep supporting our Zero Waste Raw Vegan Cafe and bring their own food delivery container and or bottle for their daily meals food catering [?][?]to support Sustainable Living [?][?]

Look  for our @anonymised_user and Vegan Cow at the self collect area [?]

#byocontainer 
#veganfoodcatering 
#veganfoodcateringsg 
#singaporevegancatering
#veganfooddeliverysg 
#singaporeveganfooddelivery 
#veganfoodsg 
#sgveganfood 
#sgveganfooddelivery 
#fooddeliveryservices 
#jcchenghandcraftfood 
#jcchenghandmadefood 
#vegancafesg 
#zerowastevegancafesg 

@anonymised_user 
@anonymised_user"
39663,"Zero Waste Raw Vegan Cafe 

Every Night we have a lots of lots of veggies and fruits waste from plant based cooking, they will just goes into our Compost Bin  and Eco Enzyme Pail  to do our small part and to show the world it is possible to be Sustainable in a Cafe [?][?][?][?]

#upcycling 
#upcyclingfoodwaste 
#upcyclingfoodwastesg 
#redicefoodwaste 
#repurposefoodwaste 
#zerowasterawvegancafesg #zerowastecafe 
#Huan Bao You Wo Zuo Qi  
#La Ji Fen Lei You Yuan Tou Zuo Qi  
#wastesegregation 
#wastesegregationawareness 
#reducereuserecycle 
#plantbaseddiet 
#rawveganfooddelivery 
#plantbasedfooddivery
#veganfooddelivery 
#singaporeveganfooddelivery 
@anonymised_user"
39666,"Upcycling Area #01-32 [?][?]

Today we received lots of glass bottle from the neighbourhood of Pasir Panjang and South Buona Vista. 

Welcome to help yourself to collect them away for repurposes or bring them down for upcycling [?][?]

COFFEE [?][?] ON THE HOUSE 
For those who come down to upcycling plastic , Paper or Glass Waste [?][?][?][?]

#upcyclingwaste 
#rediceplasticwaste 
#repurposeglassjars 
#repurposeplasticcontainers 
#upcyclingglassbottle 
#upcyclingpapertoiletroll
#upcyclingplasticwaste 
#reusereducerecycle 
#reuseplasticwaste 
#givewasteasecondchance 
#redicefoodwaste 
#jcchenghandcraftfood 
#zerowasterawvegancafesg 
#zerowasterawvegancafe 
#back2basicliving 
#back2basiclifestyle 
#back2basics 

IG : @anonymised_user 
FB : back2basic 
Visit Us --> back2basicliving.com"
39671,"Great Granny's Sauerkraut 
@anonymised_user 

Fermenting by @anonymised_user and Vegan Cow to enjoy with Gluten Free Vegan Food [?]

DO YOU KNOW ?
Many available pickles nor Sauerkraut are just soaked in Vinegar i/o of really going thru FRRMENTATION to turn into sourish taste Lacto Fermented Veggies !!!

Real Fermented lacto veggies got natural probiotics , once goes into out tummy it is alkaline not Sour / Acidic 

Food Delivery Menu : back2basicliving.com

#veganfooddelivery 
#veganfooddeliverysg 
#jcchengvegankitchen
#sgveganfooddelivery
#veganfoodsg 
#vegetarianfoodsg
#singaporeveganfooddelivery
#jcchenghandcraftfood 
#jcchenghandmadefood 
#glutenfreeveganfood
#glutenfreevegansg
#vegancafesg 
#rawvegancafesg 
#plantbasedcafesg
#plantbasedfoodsg 
#zerowastevegancafesg
#wholefood 
#realfood 
#lowfodmapdiet 
#lowfodmapvegan
#alliumfreevegan
#fermentedveganfood 
#veganhomecooking
#sustainablefoodsg 
#sustainablefood 
#animalcrueltyfreefood
#sustainablelifestyle"
39672,"Atypical Cacao Chilli  Kefir Cheesecake 

Handcraft Food
Nuts Free
Gluten Free Vegan
Quinoa Free Buckwheat Free
Plant Based Diet
Compostable Packaging 
Back2Basic No Plastic Tied String 
Low Fod Map Diet 
Cultured Fermented 

#veganfooddelivery 
#veganfooddeliverysg 
#jcchengvegankitchen
#sgveganfooddelivery
#veganfoodsg 
#vegetarianfoodsg
#singaporeveganfooddelivery
#jcchenghandcraftfood 
#jcchenghandmadefood 
#glutenfreeveganfood
#glutenfreevegansg
#vegancafesg 
#rawvegancafesg 
#plantbasedcafesg
#plantbasedfoodsg 
#zerowastevegancafesg
#wholefood 
#realfood 
#lowfodmapdiet 
#lowfodmapvegan
#alliumfreevegan
#fermentedveganfood 
#veganhomecooking
#sustainablefoodsg 
#sustainablefood 
#animalcrueltyfreefood
#sustainablelifestyle

@anonymised_user 
@anonymised_user 
@anonymised_user"
39678,"MacNonald Big Breakfast [?]

V.S. Mac (name cannot be say) Big Breakfast 

Where Mac Nonald BIG BREAKFAST came from ? 

ANSWER: 
When children are young they always loves to eat Mac Donald Big Breakfast , so I always keep their paper packaging and remake sth healthier to replace Mac (name cannot be say) Breakfast in same paper packaging .........  trying my best to cheat children.... saying nah nah nah !! this is Real Mac(name cannot be say) big breakfast !! 

Probably this is sth many mother encountered with headache before

you are not alone !!

Now with MacNonald Big Breakfast help you to solve your headache 

Online Menu : back2basicliving.com
Same Day Delivery must order before 9am. 

[?]Trying our best to delivery Gkuten & Soy Free Vegan Food within 3-4hrs. 

Welcome to self collect Vegan Food approach our @anonymised_user and Vegan Cow for Collection Delivery Area 

BYO Container S$2 off 

Transparent HOME Kitchen :-
At the same time enjoy Browsing our Transparent Kitchen while preparing your Vegan Food Cooking on Spot. 

#homesweethomefooddelivery
#homesweethomefood 
#homecookingrestaurantquality 
#veganfooddeliverysg 
#singaporeveganfooddelivery 
#Xing Jia Po Su Shi Hao Qu Chu 
#Xing Jia Po Su Shi Can Guan 
#Xing Jia Po Su Shi Ka Pei Dian 
#Xing Jia Po Su Shi Wai Mai Dian 
#glutenfreeveganfoodsg 
#glutenfreeveganfooddeliverysg
#veganfooddelivery 
#jcchenghandcraftfood 
#jcchenghandmadefood 
#supportlocalfooddelivery 
#supportlocalsmallhandcraftfood 
#supportlocalsg 
#zerowastevegancafesg 
#vegancafesg 
#glutenfreevegancafesg 
#sustainablefood 
#animalcrueltyfreefood 
#sustainablepackaging 
#compostablepackaging 
#sustainablelifestyle 
#ecofriendproducts 
#sustainableliving 
#ecofriendlyliving 

@anonymised_user 
@anonymised_user"
